Date,Sales
2023-01-01,322
2023-01-02,225
2023-01-03,245
2023-01-04,150
2023-01-05,481
2023-01-06,151
2023-01-07,437
2023-01-08,146
2023-01-09,101
2023-01-10,141
2023-01-11,257
2023-01-12,333
2023-01-13,346
2023-01-14,196
2023-01-15,313
2023-01-16,421
2023-01-17,204
2023-01-18,283
2023-01-19,456
2023-01-20,301
2023-01-21,305
2023-01-22,406
2023-01-23,131
2023-01-24,288
2023-01-25,444
2023-01-26,471
2023-01-27,322
2023-01-28,360
2023-01-29,171
2023-01-30,291
2023-01-31,342
2023-02-01,306
2023-02-02,246
2023-02-03,138
2023-02-04,316
2023-02-05,411
2023-02-06,352
2023-02-07,475
2023-02-08,469
2023-02-09,109
2023-02-10,426
2023-02-11,472
2023-02-12,221
2023-02-13,227
2023-02-14,414
2023-02-15,226
2023-02-16,444
2023-02-17,323
2023-02-18,469
2023-02-19,409
2023-02-20,211
2023-02-21,496
2023-02-22,159
2023-02-23,244
2023-02-24,169
2023-02-25,396
2023-02-26,253
2023-02-27,422
2023-02-28,280
2023-03-01,137
2023-03-02,431
2023-03-03,413
2023-03-04,492
2023-03-05,200
2023-03-06,111
2023-03-07,387
2023-03-08,249
2023-03-09,213
2023-03-10,431
2023-03-11,337
2023-03-12,270
2023-03-13,404
2023-03-14,264
2023-03-15,269
2023-03-16,473
2023-03-17,438
2023-03-18,234
2023-03-19,458
2023-03-20,292
2023-03-21,181
2023-03-22,229
2023-03-23,414
2023-03-24,462
2023-03-25,157
2023-03-26,197
2023-03-27,321
2023-03-28,236
2023-03-29,477
2023-03-30,254
2023-03-31,306
2023-04-01,457
2023-04-02,215
2023-04-03,209
2023-04-04,223
2023-04-05,237
2023-04-06,306
2023-04-07,202
2023-04-08,450
2023-04-09,275
2023-04-10,404
2023-04-11,188
2023-04-12,257
2023-04-13,187
2023-04-14,473
2023-04-15,302
2023-04-16,218
2023-04-17,430
2023-04-18,148
2023-04-19,217
2023-04-20,497
2023-04-21,167
2023-04-22,208
2023-04-23,385
2023-04-24,336
2023-04-25,163
2023-04-26,146
2023-04-27,183
2023-04-28,183
2023-04-29,425
2023-04-30,173
2023-05-01,110
2023-05-02,438
2023-05-03,311
2023-05-04,451
2023-05-05,223
2023-05-06,235
2023-05-07,126
2023-05-08,421
2023-05-09,367
2023-05-10,485
2023-05-11,166
2023-05-12,435
2023-05-13,316
2023-05-14,341
2023-05-15,272
2023-05-16,137
2023-05-17,216
2023-05-18,213
2023-05-19,456
2023-05-20,181
2023-05-21,360
2023-05-22,338
2023-05-23,463
2023-05-24,183
2023-05-25,297
2023-05-26,237
2023-05-27,311
2023-05-28,240
2023-05-29,242
2023-05-30,403
2023-05-31,365
2023-06-01,310
2023-06-02,124
2023-06-03,292
2023-06-04,317
2023-06-05,472
2023-06-06,387
2023-06-07,245
2023-06-08,232
2023-06-09,365
2023-06-10,329
2023-06-11,458
2023-06-12,332
2023-06-13,133
2023-06-14,258
2023-06-15,298
2023-06-16,336
2023-06-17,474
2023-06-18,273
2023-06-19,134
2023-06-20,321
2023-06-21,328
2023-06-22,217
2023-06-23,370
2023-06-24,153
2023-06-25,105
2023-06-26,418
2023-06-27,266
2023-06-28,243
2023-06-29,249
2023-06-30,309
2023-07-01,225
2023-07-02,489
2023-07-03,345
2023-07-04,228
2023-07-05,355
2023-07-06,242
2023-07-07,480
2023-07-08,239
2023-07-09,166
2023-07-10,111
2023-07-11,150
2023-07-12,119
2023-07-13,431
2023-07-14,381
2023-07-15,447
2023-07-16,457
2023-07-17,210
2023-07-18,324
2023-07-19,343
